"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL4546504"	""	"None"	"555.99"	"2"	"5.46"	"20"	"C[C@@H](Oc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(Cl)c[nH]c2n1)C(F)(F)F"	"IC50"	"'='"	"0.107"	"nM"	"9.97"	""	""	"UO_0000065"	"17.93"	"0.36"	"4.51"	"8.85"	"0"	"CHEMBL4349107"	"Inhibition of recombinant human full length N-terminal GST-tagged JNK3 expressed in baculovirus expression system by Z'-LYTE assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4346709"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""
"CHEMBL111620"	""	"None"	"450.80"	"0"	"3.05"	"17c"	"O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl"	"Activity"	"'='"	"76.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL816408"	"Inhibition of c-Jun N-terminal kinase 3"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1146654"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""
"CHEMBL219627"	""	"None"	"420.86"	"0"	"4.28"	"6d"	"O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1"	"Ki"	"'>'"	"4000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL917080"	"Inhibition of JNK3 at 10 nM by spectrophotometric coupled-enzyme assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142871"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""
"CHEMBL248982"	""	"None"	"424.91"	"1"	"5.07"	"10f"	"CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4cccc(Cl)n4)c3c2)cc1"	"IC50"	"'='"	"6500.0"	"nM"	"5.19"	""	""	"UO_0000065"	"12.21"	"0.24"	"0.12"	"6.18"	"0"	"CHEMBL924507"	"Inhibition of JNK3 by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140546"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""
"CHEMBL399167"	""	"None"	"433.94"	"0"	"4.92"	"1"	"CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1"	"IC50"	"'='"	"1.9"	"nM"	"8.72"	""	""	"UO_0000065"	"20.10"	"0.38"	"3.80"	"11.94"	"0"	"CHEMBL925133"	"Inhibition of JNK3"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140628"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""
"CHEMBL3426621"	"RIPASUDIL"	"3.0"	"323.39"	"0"	"1.75"	"Ripasudil"	"C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12"	"Kd"	"'>'"	"30000.0"	"nM"	""	""	"Inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3991770"	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	"B"	"BAO_0000220"	"subcellular format"	"Homo sapiens"	"None"	"None"	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	"Cell lysate"	"Direct Binder: yes"	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3991601"	"48"	"Kuster lab chemical proteomics drug profiling"	"Science"	"2017"	"None"	""
"CHEMBL576982"	"QUIZARTINIB"	"3.0"	"560.68"	"2"	"5.86"	"Quizartinib"	"CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1"	"Kd"	"'>'"	"30000.0"	"nM"	""	""	"Inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3991770"	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	"B"	"BAO_0000220"	"subcellular format"	"Homo sapiens"	"None"	"None"	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	"Cell lysate"	"Direct Binder: yes"	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3991601"	"48"	"Kuster lab chemical proteomics drug profiling"	"Science"	"2017"	"None"	""
"CHEMBL307152"	""	"None"	"494.60"	"0"	"4.68"	"14m"	"Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O"	"Control"	"'='"	"105.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL816410"	"Inhibition of c-Jun N-terminal kinase 3 at 100 nM"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1136094"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"None"	""
"CHEMBL1230165"	"SILMITASERTIB"	"2.0"	"349.78"	"0"	"4.88"	"Silmitasertib"	"O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12"	"Kd"	"'>'"	"30000.0"	"nM"	""	""	"Inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3991770"	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	"B"	"BAO_0000220"	"subcellular format"	"Homo sapiens"	"None"	"None"	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	"Cell lysate"	"Direct Binder: yes"	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3991601"	"48"	"Kuster lab chemical proteomics drug profiling"	"Science"	"2017"	"None"	""
"CHEMBL377300"	"BRIVANIB"	"3.0"	"370.38"	"0"	"3.52"	"Brivanib"	"Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1"	"Kd"	"'>'"	"30000.0"	"nM"	""	""	"Inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3991770"	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	"B"	"BAO_0000220"	"subcellular format"	"Homo sapiens"	"None"	"None"	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	"Cell lysate"	"Direct Binder: yes"	""	""	"CHEMBL2637"	"c-Jun N-terminal kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3991601"	"48"	"Kuster lab chemical proteomics drug profiling"	"Science"	"2017"	"None"	""
