"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL3719135"	""	"None"	"423.44"	"0"	"3.05"	"14"	"CC(C)n1nc(-c2cnc(N)c(OC(F)(F)F)c2)cc1[C@H]1[C@@H]2CN(C3COC3)C[C@@H]21"	"Inhibition"	"'='"	"10.9"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL4120026"	"Inhibition of recombinant full length GST-tagged human ITK cytoplasmic domain (473 to end residues) expressed in baculovirus expression system at 1 uM by FRET relative to control"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4118097"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""
"CHEMBL3963521"	""	"None"	"297.75"	"0"	"4.01"	"BDBM195756"	"C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)c1"	"IC50"	"'='"	"30.0"	"nM"	"7.52"	""	"348449"	"UO_0000065"	"25.27"	"0.49"	"3.51"	"13.02"	"0"	"CHEMBL3887687"	"Biochemical Inhibition Assay: 1H-pyrrolo[2,3-b]pyridine, 1H-pyrazolo[3,4-b]pyridine and 5H-pyrrolo[2,3-b]pyrazine series of compounds exhibited over >100 fold selective against Janus and TEC family of kinases except for the BMX and TXK it had activity of 30 and 45 nM respectively."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886406"	"37"	"BindingDB Database"	""	"2015"	"None"	""
"CHEMBL3948029"	""	"None"	"458.54"	"1"	"5.41"	"BDBM195902"	"COc1cc(F)c(C)cc1-c1c[nH]c2ncc(-c3cccc(NC(=O)/C=C/CN(C)C)c3)cc12"	"IC50"	"'='"	"72.4"	"nM"	"7.14"	""	"348600"	"UO_0000065"	"15.57"	"0.29"	"1.73"	"10.16"	"0"	"CHEMBL3887687"	"Biochemical Inhibition Assay: 1H-pyrrolo[2,3-b]pyridine, 1H-pyrazolo[3,4-b]pyridine and 5H-pyrrolo[2,3-b]pyrazine series of compounds exhibited over >100 fold selective against Janus and TEC family of kinases except for the BMX and TXK it had activity of 30 and 45 nM respectively."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886406"	"37"	"BindingDB Database"	""	"2015"	"None"	""
"CHEMBL478649"	""	"None"	"348.45"	"0"	"3.69"	"10"	"Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1"	"Activity"	""	""	""	""	""	"Not Evaluated"	""	""	""	""	""	"0"	"CHEMBL1035870"	"Binding affinity to human ITK at 10 uM relative to control"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1151712"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""
"CHEMBL499219"	""	"None"	"410.50"	"0"	"2.39"	"10e"	"CC(C)(O)Cn1/c(=N/C(=O)c2ccc(-c3cn[nH]c3)s2)[nH]c2cc(CN)ccc21"	"IC50"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1018829"	"Antagonist activity at human ITK expressed in BTK deficient DT40 cells assessed as inhibition of B cell receptor-stimulated calcium influx"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"DT40"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153328"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""
"CHEMBL488399"	""	"None"	"411.51"	"0"	"3.74"	"25"	"COCCCn1c(NC(=O)c2ccno2)nc2cc(CNC3CCCCC3)ccc21"	"IC50"	"'='"	"53.0"	"nM"	"7.28"	""	""	"UO_0000065"	"17.68"	"0.33"	"3.54"	"7.72"	"0"	"CHEMBL1006237"	"Inhibition of ITK by DELPHIA assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1152240"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""
"CHEMBL487969"	""	"None"	"513.48"	"2"	"5.85"	"17"	"COCCCn1c(NC(=O)c2cccc(Br)c2)nc2cc(CN(C)C3CCCCC3)ccc21"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"11.53"	"0.25"	"0.07"	"9.97"	"0"	"CHEMBL1006237"	"Inhibition of ITK by DELPHIA assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1152240"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""
"CHEMBL4469900"	""	"None"	"596.70"	"1"	"3.42"	"39"	"C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1"	"Inhibition"	""	""	"%"	""	""	"Active"	"UO_0000187"	""	""	""	""	"0"	"CHEMBL4349185"	"Inhibition of ITK in human Jurkat cells assessed as reduction in anti-CD3/CD28-stimulated PLCgamma1 phosphorylation at 0.1 to 10000 nM preincubated for 2 hrs followed by anti-CD3/CD28 beads addition and measured after 30 min by Western blot analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Jurkat"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4346710"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"CHEMBL3307526"	""
"CHEMBL3984768"	""	"None"	"379.42"	"0"	"4.90"	"BDBM195754"	"C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(-c4cc5ccccc5[nH]4)c3n2)c1"	"IC50"	"'='"	"35.0"	"nM"	"7.46"	""	"348554"	"UO_0000065"	"19.65"	"0.35"	"2.56"	"8.62"	"0"	"CHEMBL3887687"	"Biochemical Inhibition Assay: 1H-pyrrolo[2,3-b]pyridine, 1H-pyrazolo[3,4-b]pyridine and 5H-pyrrolo[2,3-b]pyrazine series of compounds exhibited over >100 fold selective against Janus and TEC family of kinases except for the BMX and TXK it had activity of 30 and 45 nM respectively."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886406"	"37"	"BindingDB Database"	""	"2015"	"None"	""
"CHEMBL3942125"	""	"None"	"355.83"	"0"	"3.60"	"BDBM195798"	"Cc1n[nH]c2ncc(-c3ccc(Cl)c(NC(=O)/C=C/N(C)C)c3)cc12"	"IC50"	"'='"	"35.0"	"nM"	"7.46"	""	"348574"	"UO_0000065"	"20.95"	"0.41"	"3.86"	"10.09"	"0"	"CHEMBL3887687"	"Biochemical Inhibition Assay: 1H-pyrrolo[2,3-b]pyridine, 1H-pyrazolo[3,4-b]pyridine and 5H-pyrrolo[2,3-b]pyrazine series of compounds exhibited over >100 fold selective against Janus and TEC family of kinases except for the BMX and TXK it had activity of 30 and 45 nM respectively."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886406"	"37"	"BindingDB Database"	""	"2015"	"None"	""
