C	gamma	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	0.5814102564102563	0.0	0.5
0.01	0.1	0.5814102564102563	0.0	0.5
1000.0	100.0	0.5814102564102563	0.0	0.5
1000.0	1.0	0.5814102564102563	0.0	0.5
1000.0	0.1	0.5814102564102563	0.0	0.5
1000.0	0.01	0.5814102564102563	0.0	0.5
100.0	1000.0	0.5814102564102563	0.0	0.5
100.0	100.0	0.5814102564102563	0.0	0.5
100.0	1.0	0.5814102564102563	0.0	0.5
100.0	0.1	0.5814102564102563	0.0	0.5
100.0	0.01	0.5814102564102563	0.0	0.5
10.0	1000.0	0.5814102564102563	0.0	0.5
10.0	100.0	0.5814102564102563	0.0	0.5
10.0	1.0	0.5814102564102563	0.0	0.5
10.0	0.1	0.5814102564102563	0.0	0.5
10.0	0.01	0.5814102564102563	0.0	0.5
1.0	1000.0	0.5814102564102563	0.0	0.5
1.0	100.0	0.5814102564102563	0.0	0.5
1.0	1.0	0.5814102564102563	0.0	0.5
1.0	0.1	0.5814102564102563	0.0	0.5
1.0	0.01	0.5814102564102563	0.0	0.5
0.1	1000.0	0.5814102564102563	0.0	0.5
0.1	100.0	0.5814102564102563	0.0	0.5
0.1	1.0	0.5814102564102563	0.0	0.5
0.1	0.1	0.5814102564102563	0.0	0.5
0.1	0.01	0.5814102564102563	0.0	0.5
0.01	1000.0	0.5814102564102563	0.0	0.5
0.01	100.0	0.5814102564102563	0.0	0.5
0.01	1.0	0.5814102564102563	0.0	0.5
1000.0	1000.0	0.5814102564102563	0.0	0.5
