colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9735133020344288	0.9896551724137931	0.968679115591706
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9735133020344288	0.9896551724137931	0.968679115591706
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9735133020344288	0.9896551724137931	0.968679115591706
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9776995305164318	0.9896551724137931	0.973913105739489
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9735133020344288	0.9896551724137931	0.968679115591706
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9776995305164318	0.9896551724137931	0.973913105739489
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.970774647887324	0.9894088669950738	0.9653539924389964
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.970774647887324	0.9894088669950738	0.9653539924389964
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9721244131455398	0.9863218390804598	0.9675163248940315
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9721244131455398	0.9863218390804598	0.9675163248940315
1.0	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9721048513302033	0.9863136288998359	0.9675163248940313
1.0	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9734937402190923	0.9863136288998359	0.9692404628250658
1.0	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9734937402190923	0.9863136288998359	0.9692404628250658
1.0	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9721048513302033	0.9863136288998359	0.9675163248940313
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9721635367762129	0.9861904761904763	0.9677010539580708
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.970774647887324	0.9861904761904763	0.9659769160270363
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9721635367762129	0.9861904761904763	0.9677010539580708
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.970774647887324	0.9861904761904763	0.9659769160270363
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9624021909233178	0.9860582010582011	0.9555089357314699
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9609937402190922	0.9860582010582011	0.9537232214457555
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9609937402190922	0.9860582010582011	0.9537232214457555
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9624021909233178	0.9860582010582011	0.9555089357314699
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9763302034428796	0.9859605911330049	0.9728118913964945
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9777386541471047	0.9859605911330049	0.9745976056822088
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9777386541471047	0.9859605911330049	0.9745976056822088
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9763302034428796	0.9859605911330049	0.9728118913964945
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9414514866979656	0.9854497354497355	0.9292774086378737
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9414514866979656	0.9854497354497355	0.9292774086378737
1.0	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9706964006259782	0.983540971449759	0.966353534196357
