Source	Target	Total	G1	Train	Valid	Test
DUD-E	ABL1	446 (Active 208 | Inactive 238)	50 (Active 50)	264 (Active 106 | Inactive 158)	66 (Active 26 | Inactive 40)	66 (Active 26 | Inactive 40)
DUD-E	BRAF	351 (Active 170 | Inactive 181)	50 (Active 50)	201 (Active 80 | Inactive 121)	50 (Active 20 | Inactive 30)	50 (Active 20 | Inactive 30)
DUD-E	CDK2	1322 (Active 559 | Inactive 763)	50 (Active 50)	848 (Active 339 | Inactive 509)	212 (Active 85 | Inactive 127)	212 (Active 85 | Inactive 127)
DUD-E	EGFR	1356 (Active 572 | Inactive 784)	50 (Active 50)	870 (Active 348 | Inactive 522)	218 (Active 87 | Inactive 131)	218 (Active 87 | Inactive 131)
DUD-E	FGFR1	309 (Active 153 | Inactive 156)	50 (Active 50)	173 (Active 69 | Inactive 104)	43 (Active 17 | Inactive 26)	43 (Active 17 | Inactive 26)
DUD-E	IGF1R	344 (Active 168 | Inactive 176)	50 (Active 50)	196 (Active 78 | Inactive 118)	49 (Active 20 | Inactive 29)	49 (Active 20 | Inactive 29)
DUD-E	JAK2	218 (Active 117 | Inactive 101)	50 (Active 50)	112 (Active 45 | Inactive 67)	28 (Active 11 | Inactive 17)	28 (Active 11 | Inactive 17)
DUD-E	KIT	398 (Active 189 | Inactive 209)	50 (Active 50)	232 (Active 93 | Inactive 139)	58 (Active 23 | Inactive 35)	58 (Active 23 | Inactive 35)
DUD-E	LCK	1156 (Active 492 | Inactive 664)	50 (Active 50)	736 (Active 294 | Inactive 442)	185 (Active 74 | Inactive 111)	185 (Active 74 | Inactive 111)
DUD-E	MK01	137 (Active 85 | Inactive 52)	50 (Active 50)	57 (Active 23 | Inactive 34)	15 (Active 6 | Inactive 9)	15 (Active 6 | Inactive 9)
DUD-E	MK10	206 (Active 112 | Inactive 94)	50 (Active 50)	104 (Active 42 | Inactive 62)	26 (Active 10 | Inactive 16)	26 (Active 10 | Inactive 16)
DUD-E	MK14	1401 (Active 590 | Inactive 811)	50 (Active 50)	901 (Active 360 | Inactive 541)	225 (Active 90 | Inactive 135)	225 (Active 90 | Inactive 135)
DUD-E	ROCK1	200 (Active 110 | Inactive 90)	50 (Active 50)	100 (Active 40 | Inactive 60)	25 (Active 10 | Inactive 15)	25 (Active 10 | Inactive 15)
DUD-E	TGFR1	296 (Active 148 | Inactive 148)	50 (Active 50)	164 (Active 66 | Inactive 98)	41 (Active 16 | Inactive 25)	41 (Active 16 | Inactive 25)
DUD-E	VGFR2	1127 (Active 481 | Inactive 646)	50 (Active 50)	717 (Active 287 | Inactive 430)	180 (Active 72 | Inactive 108)	180 (Active 72 | Inactive 108)
